ID,Site,Location,Treatment,DateTime,Date,Time,Time_Int,Temp
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 20:00,6/10/2020,20:00,20,11.5
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 21:00,6/10/2020,21:00,21,12
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 22:00,6/10/2020,22:00,22,11.5
OTM1,Ledge1B,Rookery,Shaded,6/10/2020 23:00,6/10/2020,23:00,23,11.5
OTM1,Ledge1B,Rookery,Shaded,6/11/2020 0:00,6/11/2020,0:00,0,11.5
OTM1,Ledge1B,Rookery,Shaded,6/11/2020 1:00,6/11/2020,1:00,1,11.5
OTM1,Ledge1B,Rookery,Shaded,6/11/2020 2:00,6/11/2020,2:00,2,10.5
OTM1,Ledge1B,Rookery,Shaded,6/11/2020 3:00,6/11/2020,3:00,3,10.5
OTM1,Ledge1B,Rookery,Shaded,6/11/2020 4:00,6/11/2020,4:00,4,10.5
OTM1,Ledge1B,Rookery,Shaded,6/11/2020 5:00,6/11/2020,5:00,5,10
OTM1,Ledge1B,Rookery,Shaded,6/11/2020 6:00,6/11/2020,6:00,6,10
